Cluster_ID	Gene
0	AGO2
0	DUSP4
0	FGFR1
0	MYC
0	NBN
0	NKX3-1
0	PRDM14
0	RAD21
0	RECQL4
0	TCEB1
0	WHSC1L1
1	ALK
1	EP300
1	MST1R
2	ARAF
2	BTK
2	EIF1AX
2	GATA1
2	KDM6A
2	RBM10
2	ZRSR2
3	ARID1A
3	EPHA7
3	FYN
3	KLF4
3	MALT1
3	PNRC1
3	PRDM1
3	SF3B1
3	SOX17
4	ASXL1
4	FOXO1
5	AXIN2
5	CCND2
5	CD79B
5	CDKN1B
5	ETV6
5	FGFR4
5	H3F3C
5	KDM5A
5	MLL3
5	MYCN
5	PBRM1
5	PTPRT
5	RAD52
5	RECQL
5	XPO1
6	BRCA2
6	REL
7	CARD11
7	DNMT1
7	ESR1
7	PMS2
7	RAC1
8	CCND1
8	FGF19
8	FGF3
8	FGF4
9	CCND3
9	PIM1
10	CDK4
10	GLI1
10	MDM2
11	BCL2
11	CDKN2A
11	CDKN2Ap14ARF
11	CDKN2Ap16INK4A
11	CDKN2B
11	GNAS
11	MTAP
11	RTEL1
11	TEK
12	BRCA1
12	CBL
12	CEBPA
12	CIC
12	ERCC5
12	ERF
12	FAT1
12	FBXW7
12	FH
12	IRS1
12	IRS2
12	KMT2B
12	LATS2
12	NCOA3
12	NF2
12	PAK1
12	PARP1
12	PDGFRA
12	PIK3C2G
12	PIK3C3
12	POLE
12	PPM1D
12	RPTOR
12	TET1
13	CHEK2
13	GSK3B
13	PTCH1
14	CSF1R
14	DNMT3A
14	NOTCH4
15	CTCF
15	DROSHA
15	IL7R
15	RICTOR
15	SDHA
15	SMYD3
15	TERT
15	TRIP13
16	DNAJB1
16	PIK3CA
17	AR
17	ATR
17	B2M
17	CUL3
17	DIS3
17	EPAS1
17	EPHA3
17	EPHA5
17	FAM175A
17	FGFR3
17	GRIN2A
17	HGF
17	IGF2
17	INPP4B
17	INPPL1
17	MAP2K4
17	MDC1
17	MTOR
17	NF1
17	NOTCH2
17	PAK7
17	PARK2
17	PGR
17	PHOX2B
17	PPP6C
17	PTPRD
17	RB1
17	ROS1
17	SRSF2
17	TP53
17	TSC1
17	TSHR
17	YES1
18	ERCC2
18	NTRK2
19	EZH1
19	KDM5C
20	FLCN
20	PLK2
20	PPP2R1A
20	RET
21	FLT1
21	KDR
21	KIT
22	FOXA1
22	MGA
22	NFKBIA
22	NKX2-1
22	PRKD1
23	ARID5B
23	H3C14
23	MCL1
23	NTRK1
23	RIT1
23	SDHC
23	SETDB1
24	IL10
24	KMT2D
25	LATS1
25	SETD2
26	LYN
26	PREX2
27	MED12
27	RUNX1
28	MLL
28	ZFHX3
29	MLL2
29	NEGR1
29	SPEN
30	MSH6
30	PIK3R1
31	CREBBP
31	KEAP1
31	PDCD1
31	PMS1
31	PTEN
31	SLX4
31	SMARCA4
31	STK11
31	TCF7L2
31	TSC2
32	PIK3CG
32	SMAD2
33	POT1
33	WT1
34	SDHB
34	U2AF1
35	SMO
35	TP63
