Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS	Only_Gene_B	Neither	P_Value	Log2OR	P_Adj
TP53	ABL1	3	657	0	0	1.0		1.0
TP53	ACVR1	3	657	0	0	1.0		1.0
TP53	AGO2	2	658	0	0	1.0		1.0
TP53	AKT1	3	657	0	0	1.0		1.0
TP53	AKT2	4	656	0	0	1.0		1.0
TP53	AKT3	5	655	0	0	1.0		1.0
TP53	ALK	4	656	0	0	1.0		1.0
TP53	ALOX12B	1	659	0	0	1.0		1.0
TP53	AMER1	5	655	0	0	1.0		1.0
TP53	ANKRD11	6	654	0	0	1.0		1.0
TP53	APC	8	652	0	0	1.0		1.0
TP53	APLNR	1	659	0	0	1.0		1.0
TP53	AR	3	657	0	0	1.0		1.0
TP53	ARAF	2	658	0	0	1.0		1.0
TP53	ARHGAP35	3	657	0	0	1.0		1.0
TP53	ARID1A	51	609	0	0	1.0		1.0
TP53	ARID1B	11	649	0	0	1.0		1.0
TP53	ARID2	13	647	0	0	1.0		1.0
TP53	ARID5B	1	659	0	0	1.0		1.0
TP53	ASXL1	2	658	0	0	1.0		1.0
TP53	ASXL2	5	655	0	0	1.0		1.0
TP53	ATM	17	643	0	0	1.0		1.0
TP53	ATR	6	654	0	0	1.0		1.0
TP53	ATRX	1	659	0	0	1.0		1.0
TP53	ATXN7	1	659	0	0	1.0		1.0
TP53	AURKA	3	657	0	0	1.0		1.0
TP53	AXIN1	6	654	0	0	1.0		1.0
TP53	AXIN2	6	654	0	0	1.0		1.0
TP53	AXL	5	655	0	0	1.0		1.0
TP53	B2M	2	658	0	0	1.0		1.0
TP53	BAP1	5	655	0	0	1.0		1.0
TP53	BARD1	2	658	0	0	1.0		1.0
TP53	BBC3	2	658	0	0	1.0		1.0
TP53	BCL10	1	659	0	0	1.0		1.0
TP53	BCL2L1	1	659	0	0	1.0		1.0
TP53	BCL2L11	1	659	0	0	1.0		1.0
TP53	BCL6	1	659	0	0	1.0		1.0
TP53	BCOR	7	653	0	0	1.0		1.0
TP53	BLM	2	658	0	0	1.0		1.0
TP53	BMPR1A	2	658	0	0	1.0		1.0
TP53	BRAF	3	657	0	0	1.0		1.0
